Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(1664, 1280), (1280, 1152)]",184140,matmul_linear_177,54.5817052,337265.78827148845
matmul,linear,"[(1792, 1280), (1280, 1152)]",195660,matmul_linear_178,57.2173035,341859.4913276541
matmul,linear,"[(1920, 1280), (1280, 1152)]",207180,matmul_linear_179,59.489428499999995,348163.5574486987
matmul,linear,"[(2048, 1280), (1280, 1152)]",218700,matmul_linear_180,67.2786876,324965.7939409627
matmul,linear,"[(1024, 1280), (1280, 1280)]",132960,matmul_linear_181,45.5356876,291890.7593533297
matmul,linear,"[(1152, 1280), (1280, 1280)]",149580,matmul_linear_182,48.136991,310638.1597657402
matmul,linear,"[(1280, 1280), (1280, 1280)]",166200,matmul_linear_183,80.1981517,207136.69620430918
matmul,linear,"[(1408, 1280), (1280, 1280)]",179000,matmul_linear_184,87.5241161,204415.06164939154
matmul,linear,"[(1536, 1280), (1280, 1280)]",191800,matmul_linear_185,94.66943769999999,202499.70340987883
matmul,linear,"[(1664, 1280), (1280, 1280)]",204600,matmul_linear_186,55.337393,369631.9098498189
matmul,linear,"[(1792, 1280), (1280, 1280)]",217400,matmul_linear_187,57.901205299999994,375367.14075052255
matmul,linear,"[(1920, 1280), (1280, 1280)]",230200,matmul_linear_188,60.210580300000004,382224.8320362061
matmul,linear,"[(2048, 1280), (1280, 1280)]",243000,matmul_linear_189,67.8715713,357929.1355358676
matmul,linear,"[(1024, 1280), (1280, 1408)]",143200,matmul_linear_190,44.84913400000001,319192.6757515541
matmul,linear,"[(1152, 1280), (1280, 1408)]",161100,matmul_linear_191,58.8166966,273801.81583234307
matmul,linear,"[(1280, 1280), (1280, 1408)]",179000,matmul_linear_192,61.127973399999995,292728.2912778522
matmul,linear,"[(1408, 1280), (1280, 1408)]",196900,matmul_linear_193,72.2594463,272390.3249085649
matmul,linear,"[(1536, 1280), (1280, 1408)]",210980,matmul_linear_194,77.31814310000001,272772.5646283659
matmul,linear,"[(1664, 1280), (1280, 1408)]",225060,matmul_linear_195,68.00757150000001,330833.740223322
matmul,linear,"[(1792, 1280), (1280, 1408)]",239140,matmul_linear_196,71.9395892,332317.80035074207
matmul,linear,"[(1920, 1280), (1280, 1408)]",253220,matmul_linear_197,75.87511599999999,333632.60345328506
matmul,linear,"[(2048, 1280), (1280, 1408)]",267300,matmul_linear_198,79.6565624,335465.57293765416
